Month,Year,Competitor merchandise exports to the World,Competitor agricultural exports to the World,   Bulk,Corn,Cotton,Rice,Soybeans,Tobacco,Wheat,  Intermediates,Soymeal,Soybean & Vegetable  Oil,Feeds & Fodders,Hides & Skins,  Consumer Oriented,Tree Nuts,Dairy Products,Prepared Food 4/ ,Fresh & Processed Fruit,Fresh & Processed Vegetables,Juices & Beverages,Beef & Beef Products,Pork & Pork Products,Poultry Meat & Products
1,1970,102.2,104.2,102.9,99.3,99.5,102.9,95.1,92.0,110.6,113.3,93.1,114.5,113.2,115.9,113.2,111.2,119.6,108.2,111.4,115.5,112.2,107.9,120.8,111.0
2,1970,102.3,104.4,103.0,99.4,99.7,103.0,95.2,92.2,110.8,113.4,93.2,114.7,113.4,116.0,113.4,111.4,119.8,108.4,111.5,115.7,112.4,108.0,121.0,111.1
3,1970,102.4,104.5,102.9,99.3,99.5,103.0,95.1,92.3,110.7,113.4,92.9,114.6,113.3,115.9,113.3,111.4,119.6,108.4,111.4,115.6,112.5,107.8,120.8,110.9
4,1970,102.7,105.2,103.3,99.7,100.1,103.5,95.4,93.1,110.9,113.8,93.3,115.0,113.6,116.1,113.7,112.0,119.9,108.9,111.9,115.9,112.9,108.1,121.0,111.2
5,1970,102.9,105.4,103.3,99.6,100.0,103.4,95.4,93.1,110.8,113.8,93.2,115.1,113.7,116.1,113.6,112.0,119.8,109.0,111.8,115.9,112.8,108.0,121.0,111.1
6,1970,103.1,105.5,103.6,100.3,100.1,103.7,95.6,93.5,110.9,114.1,93.9,115.4,114.0,116.3,113.9,112.1,120.1,109.2,112.1,116.0,113.1,108.3,121.1,111.2
7,1970,103.2,105.8,103.8,100.7,100.3,103.8,95.9,93.8,111.1,114.3,94.2,115.6,114.1,116.4,114.0,112.2,120.3,109.3,112.4,116.1,113.2,108.5,121.1,111.3
8,1970,103.3,105.9,103.7,100.5,100.5,103.7,95.3,93.9,111.1,114.1,93.6,115.4,113.7,116.1,113.9,112.2,119.9,109.2,112.5,116.1,113.1,107.8,120.4,110.8
9,1970,103.4,106.0,103.7,100.4,100.8,103.7,95.1,94.0,111.2,114.2,93.3,115.6,113.8,116.2,114.0,112.5,119.9,109.4,112.6,116.2,113.3,107.6,120.4,110.7
10,1970,103.4,106.0,103.6,100.1,100.7,103.6,95.0,93.8,111.2,114.1,92.9,115.5,113.8,116.1,113.9,112.5,119.9,109.3,112.5,116.2,113.2,107.5,120.4,110.6
11,1970,103.6,105.9,103.6,100.1,100.8,103.7,95.2,93.8,111.2,114.1,93.0,115.6,113.8,116.1,114.0,112.6,119.9,109.4,112.5,116.3,113.3,107.6,120.5,110.8
12,1970,103.6,105.9,103.6,99.6,101.0,103.8,95.1,93.7,111.2,114.2,92.6,115.7,113.9,116.3,114.1,112.9,120.0,109.5,112.5,116.5,113.5,107.6,120.8,111.1
1,1971,102.7,105.0,102.8,98.9,100.3,103.1,94.4,93.0,110.4,113.2,92.0,114.7,112.9,115.3,113.2,111.9,119.0,108.6,111.6,115.6,112.5,106.7,119.8,110.2
2,1971,102.4,104.5,102.2,98.2,99.7,102.7,93.9,92.4,109.7,112.6,91.4,114.0,112.3,114.8,112.6,111.4,118.4,108.0,111.0,115.0,111.9,106.2,119.3,109.7
3,1971,102.2,104.2,102.0,97.9,99.5,102.4,93.6,92.1,109.5,112.3,91.1,113.8,112.1,114.4,112.3,111.1,118.1,107.7,110.6,114.7,111.6,105.9,119.0,109.4
4,1971,102.0,103.9,101.6,97.6,99.2,102.1,93.3,92.0,109.0,111.9,90.8,113.4,111.6,113.9,111.8,110.7,117.5,107.4,110.2,114.2,111.2,105.4,118.4,108.9
5,1971,101.9,103.8,101.3,97.3,99.0,101.9,93.1,91.9,108.5,111.4,90.5,112.9,111.0,113.4,111.3,110.2,116.8,107.0,109.8,113.7,110.7,104.9,117.7,108.4
6,1971,102.3,104.1,101.6,97.5,99.3,102.3,93.4,92.2,108.8,111.8,90.8,113.2,111.3,113.7,111.7,110.6,117.1,107.3,110.1,114.1,111.1,105.2,118.1,108.7
7,1971,102.3,103.5,100.9,96.8,98.6,101.7,92.8,91.5,108.1,111.2,90.1,112.7,110.8,113.1,111.1,110.0,116.5,106.8,109.5,113.6,110.5,104.6,117.6,108.1
8,1971,101.7,103.3,100.5,96.6,98.3,101.2,92.4,91.5,107.3,110.5,89.8,112.0,109.9,112.3,110.4,109.2,115.6,106.2,108.8,112.7,109.8,104.0,116.6,107.4
9,1971,100.2,102.2,99.2,95.5,97.2,99.9,91.3,90.7,105.9,108.8,88.6,110.4,108.2,110.6,108.7,107.7,113.6,104.7,107.3,110.9,108.2,102.3,114.7,105.8
10,1971,99.5,101.2,98.2,94.4,96.5,99.0,90.3,89.8,104.8,107.7,87.4,109.2,107.0,109.4,107.6,106.7,112.3,103.7,106.1,109.7,107.2,101.1,113.4,104.7
11,1971,99.0,100.8,98.1,94.7,96.0,98.7,90.4,89.7,104.6,107.2,87.9,108.7,106.6,109.0,107.0,106.0,111.8,103.2,105.7,109.0,106.7,100.9,112.8,104.3
12,1971,98.3,99.7,96.8,93.0,94.9,97.6,89.3,88.7,103.0,105.8,86.4,107.2,105.2,107.5,105.6,104.8,110.2,102.0,104.2,107.7,105.3,99.4,111.3,103.0
1,1972,94.9,97.2,94.1,90.8,91.9,94.9,86.7,86.2,100.4,102.6,84.0,104.0,102.1,104.6,102.7,101.9,107.0,99.1,101.7,104.5,102.5,96.9,108.2,99.9
2,1972,94.3,96.5,93.3,89.8,91.2,94.2,86.0,85.5,99.4,101.6,83.1,103.0,101.0,103.7,101.8,101.0,105.8,98.3,100.8,103.5,101.6,95.9,107.2,99.0
3,1972,93.8,96.3,92.8,89.3,90.7,94.0,85.6,85.1,98.9,101.0,82.7,102.3,100.4,103.3,101.1,100.3,105.2,97.7,100.1,102.8,101.0,95.7,106.4,98.3
4,1972,93.7,96.1,92.8,89.4,90.6,93.9,85.6,85.2,98.8,101.0,82.9,102.3,100.3,103.1,101.0,100.2,105.1,97.7,100.0,102.7,100.9,95.6,106.2,98.2
5,1972,93.7,95.9,92.5,88.8,90.6,93.8,85.3,85.0,98.5,100.7,82.4,102.0,100.1,102.9,100.8,100.0,104.8,97.4,99.6,102.5,100.7,95.2,105.9,97.9
6,1972,93.6,95.5,91.8,87.7,90.3,93.5,84.4,84.3,97.8,100.1,81.2,101.5,99.6,102.4,100.3,99.7,104.3,97.0,99.1,102.0,100.2,94.5,105.5,97.4
7,1972,93.4,95.4,91.6,87.2,90.1,93.4,84.1,84.1,97.6,99.9,80.8,101.3,99.3,102.2,100.1,99.6,104.1,96.8,98.7,101.8,100.0,94.3,105.2,97.2
8,1972,93.1,95.1,91.6,87.2,90.1,93.3,84.1,84.0,97.7,100.1,81.0,101.5,99.6,102.3,100.1,99.6,104.5,96.9,98.5,101.9,100.1,94.4,105.4,97.4
9,1972,93.1,95.1,91.2,87.0,89.6,92.8,83.8,83.7,97.2,99.6,80.6,100.9,99.1,101.9,99.7,99.3,103.9,96.4,98.5,101.4,99.6,94.0,104.8,96.9
10,1972,93.1,94.7,91.0,86.5,89.5,92.6,83.6,83.4,97.1,99.4,80.3,100.8,98.9,101.6,99.5,99.1,103.7,96.3,98.0,101.2,99.4,93.8,104.8,96.8
11,1972,93.2,94.3,90.7,86.0,89.3,92.4,83.3,82.8,96.8,99.0,79.9,100.4,98.5,101.5,99.2,98.8,103.4,95.9,97.7,101.0,99.1,93.6,104.6,96.6
12,1972,92.6,93.5,90.1,85.1,88.9,92.0,83.0,82.2,96.4,98.5,79.3,99.8,98.0,101.0,98.7,98.3,102.9,95.4,96.9,100.6,98.6,93.1,104.3,96.3
1,1973,92.4,92.8,89.5,84.5,88.5,91.4,82.4,81.7,95.7,97.9,78.6,99.3,97.4,100.3,98.1,97.8,102.3,94.8,96.3,100.1,98.1,92.4,103.8,95.9
2,1973,88.3,88.8,85.5,80.6,84.8,87.6,78.9,78.3,91.3,93.4,74.9,94.8,92.6,95.6,93.5,93.4,97.0,90.5,91.9,95.3,93.6,87.7,98.7,91.1
3,1973,85.3,85.9,82.3,77.4,81.5,84.5,75.9,75.7,87.9,89.7,71.9,91.1,88.9,92.0,89.9,89.8,93.1,87.2,88.3,91.6,90.1,84.4,94.9,87.5
4,1973,85.4,85.7,82.3,77.2,81.6,84.7,76.0,75.6,88.0,89.8,71.7,91.2,89.1,92.2,90.0,90.0,93.4,87.3,88.3,91.9,90.3,84.4,95.2,87.7
5,1973,84.5,84.6,81.2,76.0,80.6,83.7,75.1,74.6,86.9,88.6,70.7,89.9,87.9,91.1,88.8,88.7,92.0,86.1,87.0,90.6,89.1,83.4,94.0,86.6
6,1973,82.2,82.4,78.7,74.0,78.0,81.3,73.0,72.7,84.0,85.4,68.7,86.7,84.4,88.1,85.7,85.5,88.4,83.3,84.2,87.4,86.1,80.8,90.6,83.4
7,1973,79.5,79.5,75.7,71.4,75.1,78.4,70.4,70.3,80.5,81.5,66.2,82.8,80.4,84.5,82.1,81.8,84.2,79.9,81.0,83.7,82.5,77.6,86.6,79.8
8,1973,81.6,81.4,78.0,73.3,77.5,80.6,72.4,72.2,83.1,84.3,68.2,85.6,83.3,87.2,84.8,84.5,87.3,82.4,83.1,86.5,85.1,80.0,89.5,82.6
9,1973,81.1,80.6,77.3,72.7,76.8,79.7,72.0,71.5,82.5,83.5,67.7,84.7,82.5,86.2,83.8,83.5,86.4,81.6,82.2,85.4,84.2,79.1,88.6,81.9
10,1973,80.3,79.3,76.4,71.6,76.1,78.8,71.2,70.7,81.6,82.4,66.9,83.6,81.4,85.1,82.5,82.2,85.0,80.5,80.5,84.2,83.1,78.0,87.3,80.7
11,1973,83.0,82.7,79.3,75.0,78.5,81.3,73.7,72.8,84.7,85.9,69.3,87.1,85.1,88.7,86.5,86.2,89.2,83.7,85.4,88.0,86.5,81.2,91.5,84.5
12,1973,83.9,83.4,80.5,75.6,79.7,82.5,74.7,73.4,86.1,87.6,70.2,88.8,86.9,90.3,88.1,87.9,91.3,85.1,86.6,89.8,88.0,82.7,93.6,86.4
1,1974,85.8,85.6,83.3,78.4,82.4,85.1,76.9,75.0,89.7,91.3,72.6,92.6,90.7,94.0,91.7,91.3,95.7,88.1,90.0,93.6,91.3,85.9,97.8,90.3
2,1974,84.2,84.2,82.0,77.1,81.2,83.9,75.6,74.0,88.1,89.6,71.3,90.9,88.8,92.5,90.0,89.7,93.7,86.6,88.4,92.0,89.8,84.5,96.2,88.7
3,1974,83.0,82.6,80.2,75.3,79.5,82.0,74.0,72.4,86.3,87.5,69.5,88.8,86.8,90.5,88.1,87.7,91.6,84.7,86.5,90.0,87.8,82.6,94.1,86.7
4,1974,81.3,80.8,78.4,73.9,77.7,80.2,72.4,70.7,84.4,85.4,67.8,86.6,84.7,88.4,86.0,85.6,89.3,82.7,84.5,87.8,85.7,80.7,91.7,84.6
5,1974,80.7,80.2,77.5,73.1,76.8,79.3,71.4,70.0,83.5,84.3,66.8,85.5,83.6,87.5,85.0,84.6,88.3,81.8,83.7,86.7,84.8,79.8,90.5,83.6
6,1974,81.6,80.7,78.3,73.7,77.6,80.1,72.3,70.6,84.4,85.4,67.6,86.7,84.7,88.5,86.0,85.6,89.4,82.7,84.4,87.8,85.8,80.7,91.7,84.7
7,1974,81.8,80.9,78.4,73.9,77.5,80.0,72.6,70.8,84.4,85.3,68.0,86.5,84.7,88.3,85.8,85.4,89.1,82.6,84.4,87.5,85.6,80.7,91.4,84.4
8,1974,83.0,82.0,79.6,75.1,78.7,81.1,73.9,72.0,85.7,86.7,69.3,87.9,86.1,89.7,87.1,86.6,90.6,83.9,85.6,88.8,86.9,81.9,92.8,85.7
9,1974,83.9,82.8,80.7,76.2,79.6,82.0,75.0,72.8,87.0,87.8,70.5,89.0,87.3,90.8,88.1,87.6,91.7,84.9,86.6,89.8,88.0,83.1,93.8,86.8
10,1974,83.3,82.6,80.2,76.1,79.0,81.5,74.6,72.4,86.5,86.9,70.1,88.0,86.4,90.3,87.4,86.8,90.9,84.2,86.1,88.9,87.2,82.8,92.8,85.9
11,1974,82.2,81.6,79.3,75.3,78.1,80.6,73.8,71.7,85.3,85.6,69.4,86.6,85.0,88.9,86.0,85.4,89.3,83.0,84.8,87.5,85.9,81.7,91.2,84.6
12,1974,82.1,81.0,78.3,74.3,77.0,79.7,72.9,70.9,84.1,84.3,68.4,85.4,83.7,87.7,84.9,84.4,87.9,82.0,83.9,86.3,84.9,80.5,89.9,83.4
1,1975,80.4,79.8,76.6,73.4,74.9,77.9,71.5,69.6,82.1,82.0,67.2,82.9,81.4,85.5,82.7,82.1,85.2,80.0,82.3,83.8,82.7,78.6,87.2,80.9
2,1975,79.6,79.1,75.8,72.8,74.1,77.2,70.9,69.1,81.2,81.0,66.7,81.9,80.4,84.4,81.8,81.1,84.1,79.1,81.4,82.8,81.7,77.8,86.2,80.0
3,1975,79.0,79.5,76.4,74.8,73.9,77.3,71.8,70.0,81.4,80.8,68.6,81.6,80.1,84.1,81.4,80.3,83.5,78.9,81.6,82.1,81.4,77.9,85.1,79.4
4,1975,79.5,79.7,76.7,74.8,74.2,77.5,72.2,70.1,81.8,81.3,68.8,82.0,80.6,84.5,81.8,80.8,84.0,79.3,81.9,82.5,81.8,78.2,85.6,79.8
5,1975,78.9,79.1,75.9,74.1,73.4,76.8,71.7,69.6,80.8,80.3,68.3,81.0,79.7,83.5,80.8,79.8,82.8,78.4,80.9,81.5,80.8,77.4,84.5,78.7
6,1975,79.3,80.6,77.6,77.5,74.2,78.0,73.7,71.6,82.2,81.4,71.7,82.0,80.7,84.3,81.7,80.1,83.6,79.4,82.4,82.1,81.6,78.8,84.7,79.2
7,1975,82.1,82.9,80.2,79.3,77.0,80.7,75.9,73.5,85.2,84.8,73.5,85.5,84.1,87.7,85.0,83.7,87.4,82.5,85.5,85.7,84.9,81.6,88.6,82.6
8,1975,84.0,84.6,81.9,80.5,78.9,82.4,77.3,74.6,87.2,87.1,74.6,87.8,86.4,90.1,87.2,86.0,90.0,84.5,87.4,88.0,86.9,83.6,90.9,84.6
9,1975,84.8,86.1,83.8,83.5,80.2,83.8,79.2,76.3,89.0,88.7,77.5,89.4,88.0,91.6,88.7,87.0,91.6,85.9,89.2,89.3,88.3,85.3,92.0,86.0
10,1975,84.6,86.3,83.8,83.9,80.1,83.8,79.3,76.6,88.8,88.4,77.9,89.1,87.6,91.4,88.4,86.7,91.2,85.7,89.2,88.9,88.1,85.2,91.5,85.6
11,1975,84.8,86.3,83.9,83.9,80.2,83.9,79.4,76.7,88.8,88.5,78.0,89.2,87.7,91.4,88.5,86.8,91.2,85.7,89.3,89.0,88.2,85.2,91.6,85.7
12,1975,85.4,86.5,84.2,83.8,80.7,84.3,79.6,76.8,89.2,89.0,78.0,89.7,88.3,91.9,89.0,87.5,91.9,86.2,89.6,89.6,88.7,85.6,92.3,86.3
1,1976,84.6,85.8,83.7,83.4,80.1,83.9,79.1,76.2,88.6,88.4,77.7,89.1,87.6,91.3,88.4,86.8,91.2,85.5,89.1,89.0,88.0,84.9,91.5,85.5
2,1976,84.3,85.4,83.3,82.8,79.8,84.1,78.4,75.8,88.0,88.3,76.7,89.1,87.3,91.4,88.3,86.8,91.0,85.3,89.1,89.2,87.9,84.6,91.9,85.2
3,1976,84.5,85.0,83.0,81.4,80.2,84.2,77.7,75.2,88.0,88.6,75.2,89.6,87.5,91.9,88.7,87.6,91.5,85.5,89.0,89.9,88.3,84.5,92.8,85.7
4,1976,84.5,85.1,83.1,81.3,80.5,84.6,77.7,75.4,88.0,88.6,75.0,89.6,87.3,92.1,88.7,87.7,91.4,85.6,89.0,89.9,88.4,84.5,92.7,85.7
5,1976,84.8,85.0,83.0,80.8,80.5,84.4,77.6,75.2,88.1,88.6,74.7,89.7,87.5,92.1,88.8,87.9,91.7,85.6,88.9,90.0,88.4,84.5,92.8,86.0
6,1976,85.2,85.3,83.4,81.1,80.9,84.8,77.8,75.4,88.5,89.2,75.0,90.2,88.1,92.6,89.4,88.5,92.4,86.1,89.3,90.6,89.0,85.1,93.5,86.6
7,1976,84.9,84.9,83.2,80.7,80.8,84.6,77.6,75.1,88.4,89.1,74.6,90.2,88.1,92.5,89.3,88.4,92.5,86.0,89.1,90.6,88.9,84.9,93.6,86.7
8,1976,84.5,84.4,82.7,80.1,80.5,84.2,77.0,74.5,88.1,88.5,73.8,89.6,87.5,92.0,88.8,87.9,91.9,85.5,88.5,90.0,88.4,84.4,93.1,86.4
9,1976,84.5,84.0,81.7,79.2,79.8,83.1,75.8,74.0,87.3,87.3,72.2,88.5,86.2,91.0,87.7,86.9,90.6,84.6,87.4,89.0,87.6,83.1,91.8,85.0
10,1976,84.1,83.4,80.9,78.2,79.3,82.4,74.9,73.2,86.4,86.4,71.0,87.6,85.2,90.3,86.9,86.2,89.7,83.9,86.5,88.1,86.8,82.3,90.9,84.3
11,1976,84.1,83.1,80.3,77.5,78.9,81.8,74.4,72.8,85.9,85.8,70.2,87.0,84.5,89.7,86.3,85.6,89.0,83.4,85.9,87.6,86.4,81.7,90.3,83.7
12,1976,83.6,84.4,82.2,81.3,79.5,83.1,76.7,74.5,87.7,86.7,73.7,87.7,85.4,90.7,87.0,85.7,89.6,84.1,87.2,87.7,86.9,83.4,90.2,84.2
1,1977,83.2,83.8,81.7,80.8,79.0,82.6,76.3,74.0,87.2,86.3,73.4,87.3,85.1,90.1,86.6,85.3,89.2,83.7,86.8,87.4,86.4,82.8,89.8,83.7
2,1977,83.8,84.3,82.2,81.3,79.5,83.0,76.8,74.4,87.8,86.8,73.7,87.8,85.6,90.6,87.1,85.9,89.8,84.2,87.3,88.0,87.0,83.3,90.4,84.2
3,1977,83.6,84.0,82.0,81.0,79.3,82.8,76.6,74.2,87.7,86.6,73.5,87.6,85.4,90.3,86.8,85.6,89.5,84.0,87.0,87.7,86.7,83.0,90.0,83.9
4,1977,83.3,83.5,81.6,80.7,78.8,82.3,76.3,73.9,87.3,86.1,73.2,87.0,84.9,89.7,86.2,85.0,88.9,83.5,86.3,87.1,86.2,82.5,89.4,83.4
5,1977,83.1,83.1,81.2,80.2,78.4,81.9,75.9,73.5,86.8,85.6,72.8,86.6,84.5,89.3,85.8,84.5,88.4,83.1,85.9,86.6,85.7,82.1,89.0,83.0
6,1977,83.1,83.1,81.2,80.2,78.4,81.9,76.1,73.6,87.0,85.7,73.0,86.6,84.6,89.3,85.9,84.6,88.6,83.2,86.0,86.7,85.8,82.2,89.1,83.1
7,1977,82.4,82.7,80.7,79.7,77.9,81.7,75.5,73.3,86.1,85.2,72.4,86.2,83.9,88.9,85.5,84.2,87.8,82.7,85.8,86.4,85.4,81.7,89.1,82.6
8,1977,82.4,82.7,80.8,79.7,78.0,81.7,75.6,73.2,86.5,85.4,72.3,86.4,84.2,89.2,85.7,84.4,88.2,82.9,85.9,86.7,85.7,82.0,89.6,83.0
9,1977,82.5,82.6,80.7,79.5,77.9,81.5,75.4,73.0,86.4,85.3,72.2,86.3,84.2,89.1,85.7,84.4,88.2,82.8,85.8,86.6,85.6,81.9,89.6,83.0
10,1977,81.6,81.7,79.7,78.4,76.9,80.5,74.6,72.1,85.3,84.2,71.2,85.2,83.2,88.0,84.6,83.3,86.9,81.8,84.7,85.5,84.5,80.8,88.4,81.9
11,1977,81.1,81.3,79.2,78.0,76.2,80.1,74.2,71.6,84.8,83.6,70.9,84.5,82.6,87.3,84.0,82.7,86.3,81.2,84.2,84.9,83.9,80.2,87.7,81.4
12,1977,79.7,80.2,77.8,76.9,74.9,78.8,73.0,70.6,83.2,81.9,69.7,82.8,80.8,85.6,82.3,81.1,84.4,79.7,82.7,83.1,82.3,78.8,85.9,79.8
1,1978,78.5,79.0,76.6,75.6,73.7,77.6,71.9,69.5,81.9,80.5,68.4,81.4,79.5,84.2,81.0,79.8,83.0,78.4,81.4,81.8,81.0,77.6,84.5,78.5
