Month,Year,U.S. merchandise exports to the World,U.S. agricultural exports to the World,Bulk,Corn,Cotton,Rice,Soybeans,Tobacco,Wheat,Intermediates,Soymeal,Soybean & Vegetable Oil,Feeds & Fodders,Distillers Grain,Hides & Skins,Consumer Oriented,Tree Nuts,Dairy Products,Prepared Food,Fresh & Processed Fruit,Fresh & Processed Vegetables,Juices & Beverages,Beef & Beef Products,Pork & Pork Products,Poultry Meat & Products,Wine & Beer,Agricultural Related 5/,Competitor merchandise exports to the World,Competitor agricultural exports to the World,   Bulk,Corn,Cotton,Rice,Soybeans,Tobacco,Wheat,  Intermediates,Soymeal,Soybean & Vegetable  Oil,Feeds & Fodders,Hides & Skins,  Consumer Oriented,Tree Nuts,Dairy Products,Prepared Food 4/ ,Fresh & Processed Fruit,Fresh & Processed Vegetables,Juices & Beverages,Beef & Beef Products,Pork & Pork Products,Poultry Meat & Products,Wine & Beer,U.S. agricultural imports,Bulk,"Coffee, Unroasted",Rubber & Allied Products,Cocoa Beans,Raw Beet & Cane Sugar,Intermediates ,Oils (ex. Soybean),Live Animals,"Sugars, Sweeteners, Beverage Bases",Cocoa Paste &  Butter,   Consumer-Oriented ,Wine & Beer,Fresh & Processed Fruit,Fresh & Processed Vegetables,Prepared & Snack Foods , Chocolate & Cocoa Products,Beef & Beef Products,   Agricultural Related Products,Fish Products ,Forest Products ,Distilled Spirits
1,1970,105.0,99.1,90.1,127.3,78.0,91.7,70.4,101.6,101.9,98.9,111.4,86.6,102.6,88.4,73.7,107.7,104.1,91.9,106.3,107.1,112.1,111.6,113.9,126.9,89.3,106.7,104.1,102.2,104.2,102.9,99.3,99.5,102.9,95.1,92.0,110.6,113.3,93.1,114.5,113.2,115.9,113.2,111.2,119.6,108.2,111.4,115.5,112.2,107.9,120.8,111.0,115.7,103.3,82.3,61.8,64.1,352.6,74.1,96.7,90.1,106.8,86.6,104.3,111.6,118.1,135.3,107.9,102.6,106.9,78.3,104.7,121.3,84.5,113.5
2,1970,105.3,99.4,90.3,127.4,78.2,91.9,70.6,102.0,102.5,99.3,112.5,86.8,102.8,88.7,73.6,108.2,104.4,92.5,106.7,107.5,112.6,112.1,114.2,127.3,89.6,107.0,104.3,102.3,104.4,103.0,99.4,99.7,103.0,95.2,92.2,110.8,113.4,93.2,114.7,113.4,116.0,113.4,111.4,119.8,108.4,111.5,115.7,112.4,108.0,121.0,111.1,115.9,103.6,82.7,62.1,64.3,354.1,74.9,97.2,91.1,107.4,87.0,104.6,111.9,118.1,135.1,108.4,103.0,107.3,78.4,104.8,121.4,84.6,113.6
3,1970,105.6,100.0,90.8,127.3,78.4,92.1,70.7,103.1,105.0,100.2,117.0,87.1,103.5,89.4,73.5,108.9,104.4,94.6,107.4,108.0,113.3,112.7,114.5,128.1,90.5,107.4,104.5,102.4,104.5,102.9,99.3,99.5,103.0,95.1,92.3,110.7,113.4,92.9,114.6,113.3,115.9,113.3,111.4,119.6,108.4,111.4,115.6,112.5,107.8,120.8,110.9,115.7,104.1,83.2,62.3,65.0,347.7,78.3,98.1,94.6,107.7,87.5,104.4,112.3,117.9,136.0,108.7,103.4,107.4,78.5,105.2,122.4,84.7,113.6
4,1970,105.9,100.4,91.2,127.3,79.2,92.2,71.2,103.6,105.2,100.7,117.5,87.3,104.4,90.0,73.7,109.2,104.6,95.3,107.7,108.4,113.7,112.9,114.7,128.3,90.9,107.6,104.7,102.7,105.2,103.3,99.7,100.1,103.5,95.4,93.1,110.9,113.8,93.3,115.0,113.6,116.1,113.7,112.0,119.9,108.9,111.9,115.9,112.9,108.1,121.0,111.2,116.0,105.1,85.0,62.5,69.6,363.3,78.3,98.7,95.4,108.1,88.0,106.5,113.0,118.5,138.1,109.3,103.8,108.5,78.8,106.4,124.4,85.5,113.5
5,1970,106.2,100.7,91.4,128.2,78.4,92.0,71.4,103.9,105.3,101.0,117.9,87.5,105.1,90.1,73.9,109.8,104.4,95.9,108.4,109.2,114.5,113.8,115.6,129.0,91.0,108.0,105.2,102.9,105.4,103.3,99.6,100.0,103.4,95.4,93.1,110.8,113.8,93.2,115.1,113.7,116.1,113.6,112.0,119.8,109.0,111.8,115.9,112.8,108.0,121.0,111.1,116.0,105.6,86.4,62.7,73.2,380.2,78.4,99.1,96.0,108.8,88.2,108.4,113.2,118.5,137.7,109.5,104.2,109.6,79.1,106.9,125.3,86.0,113.5
6,1970,105.7,100.4,91.5,128.8,78.5,91.9,71.5,104.0,105.4,100.7,117.4,87.0,105.1,90.0,74.3,108.9,104.4,95.6,106.8,108.1,112.6,111.8,115.2,129.0,90.8,107.0,104.4,103.1,105.5,103.6,100.3,100.1,103.7,95.6,93.5,110.9,114.1,93.9,115.4,114.0,116.3,113.9,112.1,120.1,109.2,112.1,116.0,113.1,108.3,121.1,111.2,116.3,104.7,85.2,62.4,72.4,355.5,78.3,98.2,95.3,106.4,87.3,106.7,112.5,118.8,137.1,108.7,103.0,107.8,78.3,105.9,124.6,84.5,113.4
7,1970,105.6,100.4,91.7,129.2,78.7,92.0,71.6,104.2,105.9,100.8,117.3,87.0,105.3,90.1,74.4,108.7,104.4,95.6,106.4,107.8,112.1,111.2,115.3,129.1,90.9,106.7,104.3,103.2,105.8,103.8,100.7,100.3,103.8,95.9,93.8,111.1,114.3,94.2,115.6,114.1,116.4,114.0,112.2,120.3,109.3,112.4,116.1,113.2,108.5,121.1,111.3,116.6,104.9,85.4,62.7,72.8,358.9,78.5,98.0,94.8,105.7,87.3,106.8,112.7,119.3,139.0,108.5,102.7,107.6,78.0,106.0,124.9,84.4,113.4
8,1970,105.6,100.6,92.5,129.1,83.0,93.3,71.7,104.8,106.3,101.2,118.5,87.1,105.6,90.7,74.3,108.5,105.8,95.3,105.9,107.3,111.6,110.5,114.8,128.9,90.9,106.3,103.9,103.3,105.9,103.7,100.5,100.5,103.7,95.3,93.9,111.1,114.1,93.6,115.4,113.7,116.1,113.9,112.2,119.9,109.2,112.5,116.1,113.1,107.8,120.4,110.8,116.2,105.0,85.8,62.5,73.0,372.5,78.4,97.6,94.6,104.8,86.8,106.7,112.8,118.6,140.9,108.5,102.5,107.2,77.5,106.3,126.5,83.9,113.0
9,1970,105.7,100.8,92.7,128.2,84.9,93.9,71.8,105.2,106.0,101.4,118.8,87.3,105.6,91.1,74.1,108.5,106.4,95.3,106.0,107.3,111.7,110.7,114.4,128.4,91.3,106.4,103.9,103.4,106.0,103.7,100.4,100.8,103.7,95.1,94.0,111.2,114.2,93.3,115.6,113.8,116.2,114.0,112.5,119.9,109.4,112.6,116.2,113.3,107.6,120.4,110.7,116.2,105.1,86.5,62.7,74.3,378.4,78.2,97.8,94.7,105.2,87.0,107.5,112.9,118.4,140.8,108.9,102.8,107.7,77.3,106.3,126.5,84.0,113.2
10,1970,105.9,101.0,92.8,128.0,85.2,94.1,71.9,105.5,106.4,101.7,119.4,87.6,105.7,91.3,74.1,108.9,106.4,95.6,106.6,107.8,112.3,111.3,114.5,128.2,91.8,106.7,104.0,103.4,106.0,103.6,100.1,100.7,103.6,95.0,93.8,111.2,114.1,92.9,115.5,113.8,116.1,113.9,112.5,119.9,109.3,112.5,116.2,113.2,107.5,120.4,110.6,116.1,105.5,87.0,63.1,74.8,385.4,78.7,98.1,95.1,106.0,87.6,108.1,113.2,118.3,141.3,109.4,103.2,108.4,77.5,106.7,126.9,84.4,113.2
