Month,Year,U.S. merchandise exports to the World,U.S. agricultural exports to the World,Bulk,Corn,Cotton,Rice,Soybeans,Tobacco,Wheat,Intermediates,Soymeal,Soybean & Vegetable Oil,Feeds & Fodders,Distillers Grain,Hides & Skins,Consumer Oriented,Tree Nuts,Dairy Products,Prepared Food,Fresh & Processed Fruit,Fresh & Processed Vegetables,Juices & Beverages,Beef & Beef Products,Pork & Pork Products,Poultry Meat & Products,Wine & Beer,Agricultural Related 5/
1,1970,105,99.1,90.1,127.3,78,91.7,70.4,101.6,101.9,98.9,111.4,86.6,102.6,88.4,73.7,107.7,104.1,91.9,106.3,107.1,112.1,111.6,113.9,126.9,89.3,106.7,104.1
2,1970,105.3,99.4,90.3,127.4,78.2,91.9,70.6,102,102.5,99.3,112.5,86.8,102.8,88.7,73.6,108.2,104.4,92.5,106.7,107.5,112.6,112.1,114.2,127.3,89.6,107,104.3
3,1970,105.6,100,90.8,127.3,78.4,92.1,70.7,103.1,105,100.2,117,87.1,103.5,89.4,73.5,108.9,104.4,94.6,107.4,108,113.3,112.7,114.5,128.1,90.5,107.4,104.5
4,1970,105.9,100.4,91.2,127.3,79.2,92.2,71.2,103.6,105.2,100.7,117.5,87.3,104.4,90,73.7,109.2,104.6,95.3,107.7,108.4,113.7,112.9,114.7,128.3,90.9,107.6,104.7
5,1970,106.2,100.7,91.4,128.2,78.4,92,71.4,103.9,105.3,101,117.9,87.5,105.1,90.1,73.9,109.8,104.4,95.9,108.4,109.2,114.5,113.8,115.6,129,91,108,105.2
6,1970,105.7,100.4,91.5,128.8,78.5,91.9,71.5,104,105.4,100.7,117.4,87,105.1,90,74.3,108.9,104.4,95.6,106.8,108.1,112.6,111.8,115.2,129,90.8,107,104.4
7,1970,105.6,100.4,91.7,129.2,78.7,92,71.6,104.2,105.9,100.8,117.3,87,105.3,90.1,74.4,108.7,104.4,95.6,106.4,107.8,112.1,111.2,115.3,129.1,90.9,106.7,104.3
8,1970,105.6,100.6,92.5,129.1,83,93.3,71.7,104.8,106.3,101.2,118.5,87.1,105.6,90.7,74.3,108.5,105.8,95.3,105.9,107.3,111.6,110.5,114.8,128.9,90.9,106.3,103.9
9,1970,105.7,100.8,92.7,128.2,84.9,93.9,71.8,105.2,106,101.4,118.8,87.3,105.6,91.1,74.1,108.5,106.4,95.3,106,107.3,111.7,110.7,114.4,128.4,91.3,106.4,103.9
10,1970,105.9,101,92.8,128,85.2,94.1,71.9,105.5,106.4,101.7,119.4,87.6,105.7,91.3,74.1,108.9,106.4,95.6,106.6,107.8,112.3,111.3,114.5,128.2,91.8,106.7,104
11,1970,106.1,101.1,92.9,128.4,85.2,94.2,71.9,105.2,106.3,101.7,118.9,87.6,105.7,91.3,74.3,109.1,106.7,95.5,106.9,108,112.6,111.6,114.9,128.6,92,106.8,104.3
12,1970,106.3,101.2,92.8,128,85.3,94.2,72,105.2,106.1,101.7,118.9,87.8,105.6,91.3,74.1,109.3,107,95.4,107.1,108.2,112.9,112,114.7,128.4,92.1,107,104.5
1,1971,105.2,100.2,91.9,126.6,84.7,93.3,71.4,104.6,104.6,100.7,117.8,87.2,104.4,90.3,73.4,108.2,106.3,94.4,106.1,107.1,111.7,110.8,113.5,127.2,91.4,106,103.5
