Month,compcom,U.S. agricultural imports,Bulk,"Coffee, Unroasted",Rubber & Allied Products,Cocoa Beans,Raw Beet & Cane Sugar,Intermediates ,Oils (ex. Soybean),Live Animals,"Sugars, Sweeteners, Beverage Bases",Cocoa Paste &  Butter,   Consumer-Oriented ,Wine & Beer,Fresh & Processed Fruit,Fresh & Processed Vegetables,Prepared & Snack Foods , Chocolate & Cocoa Products,Beef & Beef Products,   Agricultural Related Products,Fish Products ,Forest Products ,Distilled Spirits
1,1970,103.3,82.3,61.8,64.1,352.6,74.1,96.7,90.1,106.8,86.6,104.3,111.6,118.1,135.3,107.9,102.6,106.9,78.3,104.7,121.3,84.5,113.5
2,1970,103.6,82.7,62.1,64.3,354.1,74.9,97.2,91.1,107.4,87.0,104.6,111.9,118.1,135.1,108.4,103.0,107.3,78.4,104.8,121.4,84.6,113.6
3,1970,104.1,83.2,62.3,65.0,347.7,78.3,98.1,94.6,107.7,87.5,104.4,112.3,117.9,136.0,108.7,103.4,107.4,78.5,105.2,122.4,84.7,113.6
4,1970,105.1,85.0,62.5,69.6,363.3,78.3,98.7,95.4,108.1,88.0,106.5,113.0,118.5,138.1,109.3,103.8,108.5,78.8,106.4,124.4,85.5,113.5
5,1970,105.6,86.4,62.7,73.2,380.2,78.4,99.1,96.0,108.8,88.2,108.4,113.2,118.5,137.7,109.5,104.2,109.6,79.1,106.9,125.3,86.0,113.5
6,1970,104.7,85.2,62.4,72.4,355.5,78.3,98.2,95.3,106.4,87.3,106.7,112.5,118.8,137.1,108.7,103.0,107.8,78.3,105.9,124.6,84.5,113.4
7,1970,104.9,85.4,62.7,72.8,358.9,78.5,98.0,94.8,105.7,87.3,106.8,112.7,119.3,139.0,108.5,102.7,107.6,78.0,106.0,124.9,84.4,113.4
8,1970,105.0,85.8,62.5,73.0,372.5,78.4,97.6,94.6,104.8,86.8,106.7,112.8,118.6,140.9,108.5,102.5,107.2,77.5,106.3,126.5,83.9,113.0
9,1970,105.1,86.5,62.7,74.3,378.4,78.2,97.8,94.7,105.2,87.0,107.5,112.9,118.4,140.8,108.9,102.8,107.7,77.3,106.3,126.5,84.0,113.2
10,1970,105.5,87.0,63.1,74.8,385.4,78.7,98.1,95.1,106.0,87.6,108.1,113.2,118.3,141.3,109.4,103.2,108.4,77.5,106.7,126.9,84.4,113.2
11,1970,105.5,86.8,63.4,73.5,380.8,78.4,98.1,94.9,106.2,87.6,107.9,113.2,118.1,141.1,109.6,103.4,108.4,77.5,106.7,126.8,84.5,113.2
12,1970,105.8,87.2,63.8,73.5,387.0,78.3,98.4,95.0,106.7,87.7,108.7,113.3,118.0,141.1,109.6,103.6,108.9,77.4,107.1,127.2,84.9,113.3
1,1971,104.7,86.2,62.8,72.1,386.2,77.9,97.4,93.9,105.5,87.0,107.4,112.3,117.0,139.6,108.7,102.6,107.7,76.8,106.1,126.1,84.2,112.0
2,1971,104.4,85.9,62.9,71.1,386.0,77.9,96.9,93.3,105.0,86.8,106.9,111.9,116.5,139.5,108.4,102.2,107.3,76.5,105.8,125.8,83.8,111.6
3,1971,104.3,85.8,63.0,71.3,379.0,77.6,96.9,93.4,105.0,86.8,106.6,111.8,116.2,139.4,108.3,102.1,107.1,76.4,105.7,125.7,83.8,111.4
4,1971,104.0,86.0,63.3,72.0,380.5,77.5,96.6,93.5,104.4,86.5,106.9,111.4,115.6,138.7,108.0,101.8,107.0,75.9,105.3,125.5,83.4,110.6
5,1971,104.3,86.8,63.7,73.7,381.6,77.7,96.8,94.0,104.8,86.8,107.0,111.4,115.3,138.6,108.3,102.0,107.0,76.2,105.7,126.1,83.6,110.6
6,1971,104.8,87.1,63.3,74.8,382.8,77.8,97.3,94.8,106.0,87.3,107.4,111.8,115.8,138.7,108.9,102.8,107.7,76.5,106.3,126.9,84.3,110.9
7,1971,104.4,86.7,63.1,74.8,382.8,77.1,96.9,94.4,105.5,87.0,107.5,111.5,115.5,138.2,108.8,102.4,107.5,76.1,105.9,126.5,83.9,110.6
8,1971,104.1,87.7,63.9,77.7,386.1,77.4,96.3,93.9,104.2,86.8,107.7,110.9,114.7,138.3,108.2,101.6,106.9,75.4,105.5,126.4,83.4,109.8
9,1971,103.6,88.3,64.1,80.1,393.0,76.8,95.7,93.6,104.1,86.5,107.7,110.1,112.9,137.5,107.8,101.1,106.6,74.4,105.1,126.0,83.3,108.6
10,1971,103.0,88.0,64.2,79.5,393.0,76.7,95.0,92.8,103.2,86.4,106.8,109.4,112.0,137.2,107.6,100.4,105.8,73.5,104.4,125.4,82.7,107.9
11,1971,102.5,87.3,63.5,78.1,389.2,76.3,94.6,92.5,103.1,86.1,106.2,108.9,111.6,136.0,107.2,100.1,105.3,73.4,104.0,124.6,82.4,107.3
12,1971,102.0,87.5,63.8,78.8,394.0,76.1,93.6,90.9,102.7,86.0,105.2,108.2,109.9,135.4,106.9,99.7,104.7,72.4,103.6,124.8,82.1,106.1
